enrollment_id,user_id,course_id,enrollment_date,status,progress_percent
E000001,S0983,C059,2023-09-11,enrolled,0
E000002,S2369,C102,2023-02-17,in_progress,71
E000003,S4519,C198,2024-10-25,completed,37
E000004,S4983,C005,2023-04-08,dropped,14
E000005,S3824,C036,2024-06-15,completed,92
E000006,S4163,C008,2023-08-20,completed,53
E000007,S0736,C166,2025-01-02,completed,43
E000008,S4353,C119,2023-11-18,completed,97
E000009,S3031,C047,2024-10-06,enrolled,47
E000010,S4986,C023,2023-03-15,completed,2
E000011,S3739,C042,2022-01-12,enrolled,60
E000012,S4601,C185,2024-01-24,enrolled,89
E000013,S0168,C120,2022-07-06,completed,5
E000014,S2290,C115,2024-09-09,enrolled,15
E000015,S3877,C127,2025-02-28,completed,60
E000016,S4171,C103,2024-01-06,enrolled,13
E000017,S1273,C019,2025-07-24,in_progress,9
E000018,S1261,C157,2025-08-08,in_progress,79
E000019,S4128,C074,2024-12-04,enrolled,36
E000020,S2419,C153,2023-01-19,in_progress,13
E000021,S1342,C172,2024-08-01,dropped,31
E000022,S1745,C028,2025-09-03,in_progress,64
E000023,S4973,C198,2025-06-10,enrolled,41
E000024,S2705,C082,2025-06-28,completed,31
E000025,S0474,C064,2023-12-15,completed,34
E000026,S4533,C065,2024-11-18,enrolled,46
E000027,S4781,C091,2025-10-06,completed,54
E000028,S0867,C180,2023-08-28,in_progress,67
E000029,S4350,C142,2024-12-28,in_progress,74
E000030,S3568,C064,2025-04-15,in_progress,34
E000031,S1901,C056,2023-12-27,completed,27
E000032,S2984,C185,2024-06-15,enrolled,34
E000033,S1341,C149,2023-11-03,completed,49
E000034,S0834,C056,2022-10-14,enrolled,9
E000035,S2342,C012,2025-09-12,completed,16
E000036,S1284,C138,2023-09-02,in_progress,4
E000037,S3042,C097,2025-08-23,completed,85
E000038,S2434,C156,2025-07-01,in_progress,70
E000039,S0597,C045,2024-11-07,enrolled,1
E000040,S2515,C188,2025-04-24,completed,18
E000041,S3953,C070,2024-03-17,completed,36
E000042,S0266,C013,2025-06-27,enrolled,31
E000043,S3605,C064,2023-02-24,completed,42
E000044,S0569,C011,2025-03-18,enrolled,82
E000045,S1063,C148,2021-11-28,dropped,9
E000046,S3509,C141,2025-07-12,enrolled,80
E000047,S1328,C105,2023-09-12,in_progress,21
E000048,S1285,C175,2024-09-29,enrolled,20
E000049,S2668,C035,2023-07-22,completed,29
E000050,S1526,C151,2025-06-11,completed,20
E000051,S4424,C083,2023-10-07,enrolled,47
E000052,S3769,C094,2023-12-16,completed,66
E000053,S2148,C104,2024-03-05,dropped,48
E000054,S0869,C115,2025-09-28,enrolled,58
E000055,S1742,C075,2025-04-29,completed,58
E000056,S3623,C117,2023-10-28,enrolled,98
E000057,S1766,C135,2024-10-24,completed,26
E000058,S3104,C013,2025-10-22,enrolled,12
E000059,S4912,C105,2022-03-12,in_progress,5
E000060,S0724,C032,2025-10-09,enrolled,3
E000061,S3356,C160,2025-07-12,completed,5
E000062,S3927,C151,2024-05-27,completed,98
E000063,S3867,C160,2024-01-01,enrolled,67
E000064,S3214,C031,2025-08-26,enrolled,84
E000065,S0156,C055,2022-09-28,enrolled,78
E000066,S4253,C187,2025-06-05,enrolled,28
E000067,S1450,C188,2024-11-25,completed,33
E000068,S1195,C200,2025-04-29,in_progress,55
E000069,S0831,C125,2025-07-18,completed,32
E000070,S0549,C166,2024-10-21,enrolled,77
E000071,S1040,C116,2025-09-03,in_progress,97
E000072,S0361,C009,2025-06-25,completed,55
E000073,S4424,C149,2024-11-12,enrolled,20
E000074,S4498,C030,2023-10-19,enrolled,20
E000075,S2512,C088,2025-08-20,in_progress,1
E000076,S1088,C067,2025-01-22,enrolled,79
E000077,S1198,C059,2025-10-18,in_progress,43
E000078,S4321,C033,2021-05-30,completed,52
E000079,S1039,C156,2024-09-23,completed,52
E000080,S0312,C024,2024-09-26,dropped,40
E000081,S1690,C140,2024-09-01,completed,91
E000082,S2274,C141,2023-11-24,enrolled,59
E000083,S4339,C028,2023-08-30,completed,3
E000084,S2828,C059,2024-01-31,completed,67
E000085,S1988,C023,2024-05-21,enrolled,61
E000086,S2857,C027,2021-09-02,in_progress,68
E000087,S3475,C153,2024-08-05,in_progress,5
E000088,S2657,C020,2024-01-17,completed,3
E000089,S3367,C176,2025-04-30,enrolled,85
E000090,S1250,C151,2024-05-20,completed,51
E000091,S3952,C097,2025-04-06,in_progress,97
E000092,S2678,C005,2023-11-08,in_progress,7
E000093,S4253,C042,2022-08-09,completed,72
E000094,S4773,C170,2024-10-19,enrolled,62
E000095,S2789,C099,2023-05-23,completed,29
E000096,S0136,C168,2024-06-04,in_progress,30
E000097,S1453,C061,2025-07-26,in_progress,23
E000098,S4157,C048,2024-12-22,enrolled,33
E000099,S0170,C118,2023-08-02,in_progress,10
E000100,S1279,C089,2024-08-07,enrolled,8
E000101,S4491,C125,2025-06-23,dropped,11
E000102,S3388,C102,2025-09-29,enrolled,63
E000103,S1457,C121,2025-10-08,in_progress,74
E000104,S2731,C168,2024-12-16,in_progress,49
E000105,S1510,C069,2024-11-29,completed,88
