content_id,course_id,content_title,duration_seconds,sequence
CONT00001,C001,Mobile App Development — Lecture 1: Overview,3581,1
CONT00002,C001,Mobile App Development — Lecture 2: Summary,2681,2
CONT00003,C001,Mobile App Development — Lecture 3: Overview,805,3
CONT00004,C001,Mobile App Development — Lecture 4: Deep Dive,3269,4
CONT00005,C001,Mobile App Development — Lecture 5: Exercise,1589,5
CONT00006,C001,Mobile App Development — Lecture 6: Deep Dive,3358,6
CONT00007,C001,Mobile App Development — Lecture 7: Exercise,1375,7
CONT00008,C002,Financial Accounting — Lecture 1: Overview,2758,1
CONT00009,C002,Financial Accounting — Lecture 2: Summary,3373,2
CONT00010,C002,Financial Accounting — Lecture 3: Exercise,1821,3
CONT00011,C002,Financial Accounting — Lecture 4: Summary,2165,4
CONT00012,C002,Financial Accounting — Lecture 5: Exercise,2393,5
CONT00013,C002,Financial Accounting — Lecture 6: Summary,2477,6
CONT00014,C002,Financial Accounting — Lecture 7: Summary,686,7
CONT00015,C002,Financial Accounting — Lecture 8: Examples,2840,8
CONT00016,C002,Financial Accounting — Lecture 9: Exercise,2443,9
CONT00017,C002,Financial Accounting — Lecture 10: Summary,3150,10
CONT00018,C003,Microeconomics — Lecture 1: Summary,766,1
CONT00019,C003,Microeconomics — Lecture 2: Overview,3286,2
CONT00020,C003,Microeconomics — Lecture 3: Deep Dive,3125,3
CONT00021,C003,Microeconomics — Lecture 4: Case Study,1801,4
CONT00022,C003,Microeconomics — Lecture 5: Exercise,844,5
CONT00023,C003,Microeconomics — Lecture 6: Case Study,2003,6
CONT00024,C003,Microeconomics — Lecture 7: Examples,827,7
CONT00025,C003,Microeconomics — Lecture 8: Exercise,925,8
CONT00026,C003,Microeconomics — Lecture 9: Examples,820,9
CONT00027,C003,Microeconomics — Lecture 10: Overview,628,10
CONT00028,C003,Microeconomics — Lecture 11: Examples,1890,11
CONT00029,C003,Microeconomics — Lecture 12: Deep Dive,874,12
CONT00030,C004,Deep Learning — Lecture 1: Overview,762,1
CONT00031,C004,Deep Learning — Lecture 2: Examples,1198,2
CONT00032,C004,Deep Learning — Lecture 3: Deep Dive,1797,3
CONT00033,C004,Deep Learning — Lecture 4: Overview,2418,4
CONT00034,C004,Deep Learning — Lecture 5: Summary,2226,5
CONT00035,C004,Deep Learning — Lecture 6: Summary,2830,6
CONT00036,C004,Deep Learning — Lecture 7: Deep Dive,1226,7
