course_id,course_title,instructor_id,category,release_date,price,description
C001,Mobile App Development — Advanced (2021),T0049,Mobile,2021-06-17,39.99,"Practical course on mobile app development, suitable for advanced learners."
C002,Financial Accounting — Advanced (2021),T0043,Financial,2022-09-27,59.99,"Practical course on financial accounting, suitable for advanced learners."
C003,Microeconomics — Intermediate (2024),T0097,Microeconomics,2022-05-03,0.0,"Practical course on microeconomics, suitable for intermediate learners."
C004,Deep Learning — Intermediate (2025),T0066,Deep,2024-03-18,19.99,"Practical course on deep learning, suitable for intermediate learners."
C005,Calculus I — Intermediate (2023),T0060,Calculus,2024-02-12,59.99,"Practical course on calculus i, suitable for intermediate learners."
C006,Deep Learning — Beginner (2025),T0100,Deep,2023-04-16,39.99,"Practical course on deep learning, suitable for beginner learners."
C007,Project Management — Advanced (2021),T0018,Project,2024-12-11,59.99,"Practical course on project management, suitable for advanced learners."
C008,Project Management — Advanced (2025),T0019,Project,2025-08-07,29.99,"Practical course on project management, suitable for advanced learners."
C009,Thermodynamics — Intermediate (2022),T0100,Thermodynamics,2025-05-12,0.0,"Practical course on thermodynamics, suitable for intermediate learners."
C010,Mobile App Development — Intermediate (2023),T0066,Mobile,2024-03-27,0.0,"Practical course on mobile app development, suitable for intermediate learners."
C011,Photography — Beginner (2022),T0097,Photography,2021-03-15,9.99,"Practical course on photography, suitable for beginner learners."
C012,Human-Computer Interaction — Advanced (2022),T0054,Human-Computer,2021-10-21,9.99,"Practical course on human-computer interaction, suitable for advanced learners."
C013,Human-Computer Interaction — Beginner (2021),T0054,Human-Computer,2023-08-07,99.99,"Practical course on human-computer interaction, suitable for beginner learners."
C014,Graphic Design — Intermediate (2023),T0031,Graphic,2025-01-28,0.0,"Practical course on graphic design, suitable for intermediate learners."
C015,Mobile App Development — Advanced (2022),T0063,Mobile,2021-07-24,59.99,"Practical course on mobile app development, suitable for advanced learners."
C016,Thermodynamics — Intermediate (2022),T0061,Thermodynamics,2021-05-21,19.99,"Practical course on thermodynamics, suitable for intermediate learners."
C017,Digital Marketing — Intermediate (2023),T0100,Digital,2022-10-02,39.99,"Practical course on digital marketing, suitable for intermediate learners."
C018,Digital Marketing — Intermediate (2024),T0059,Digital,2021-10-26,39.99,"Practical course on digital marketing, suitable for intermediate learners."
C019,Machine Learning — Beginner (2024),T0020,Machine,2025-10-09,59.99,"Practical course on machine learning, suitable for beginner learners."
C020,Web Development — Intermediate (2022),T0025,Web,2022-02-05,39.99,"Practical course on web development, suitable for intermediate learners."
C021,World History — Advanced (2025),T0093,World,2021-06-25,99.99,"Practical course on world history, suitable for advanced learners."
C022,Microeconomics — Advanced (2021),T0027,Microeconomics,2023-07-30,19.99,"Practical course on microeconomics, suitable for advanced learners."
C023,Algorithms — Advanced (2021),T0009,Algorithms,2022-04-04,0.0,"Practical course on algorithms, suitable for advanced learners."
C024,Deep Learning — Advanced (2023),T0071,Deep,2021-01-16,59.99,"Practical course on deep learning, suitable for advanced learners."
C025,Macroeconomics — Advanced (2022),T0083,Macroeconomics,2023-02-09,0.0,"Practical course on macroeconomics, suitable for advanced learners."
C026,Macroeconomics — Beginner (2024),T0024,Macroeconomics,2023-06-29,39.99,"Practical course on macroeconomics, suitable for beginner learners."
C027,Digital Marketing — Intermediate (2022),T0023,Digital,2023-06-16,59.99,"Practical course on digital marketing, suitable for intermediate learners."
C028,Project Management — Advanced (2023),T0048,Project,2021-12-20,9.99,"Practical course on project management, suitable for advanced learners."
C029,French Basics — Intermediate (2023),T0061,French,2022-06-27,9.99,"Practical course on french basics, suitable for intermediate learners."
C030,English Literature — Beginner (2024),T0034,English,2023-08-06,19.99,"Practical course on english literature, suitable for beginner learners."
C031,Statistics — Advanced (2025),T0011,Statistics,2025-07-22,39.99,"Practical course on statistics, suitable for advanced learners."
C032,Game Design — Advanced (2021),T0051,Game,2023-06-30,39.99,"Practical course on game design, suitable for advanced learners."
C033,Cloud Computing — Advanced (2021),T0040,Cloud,2023-12-11,39.99,"Practical course on cloud computing, suitable for advanced learners."
C034,Cybersecurity Basics — Advanced (2025),T0017,Cybersecurity,2022-06-07,39.99,"Practical course on cybersecurity basics, suitable for advanced learners."
